,country,population
36,Afghanistan,39232003.0
135,Albania,3101621.0
33,Algeria,44758398.0
211,American Samoa,44620.0
199,Andorra,85468.0
40,Angola,35981281.0
220,Anguilla,19079.0
194,Antigua and Barbuda,101489.0
32,Argentina,46621847.0
137,Armenia,2989091.0
188,Aruba,123702.0
53,Australia,26461166.0
98,Austria,8940860.0
89,Azerbaijan,10420515.0
153,Bahrain,1553886.0
7,Bangladesh,167184465.0
180,Barbados,303431.0
95,Belarus,9383853.0
81,Belgium,11913633.0
175,Belize,419137.0
73,Benin,14219908.0
202,Bermuda,72576.0
163,Bhutan,876181.0
78,Bolivia,12186079.0
130,Bosnia and Herzegovina,3807764.0
144,Botswana,2417596.0
6,Brazil,218689757.0
213,British Virgin Islands,39369.0
173,Brunei,484991.0
106,Bulgaria,6827736.0
59,Burkina Faso,22489126.0
76,Burundi,13162952.0
71,Cambodia,16891245.0
50,Cameroon,30135732.0
37,Canada,38516736.0
169,Cape Verde,603901.0
217,Caribbean Netherlands,30397.0
204,Cayman Islands,65483.0
118,Central African Republic,5552228.0
65,Chad,18523165.0
64,Chile,18549457.0
0,China,1413142846.0
231,Christmas Island,2205.0
236,Cocos (Keeling) Islands,596.0
28,Colombia,49336454.0
162,Comoros,888378.0
224,Cook Islands,7939.0
123,Costa Rica,5256612.0
128,Croatia,4169239.0
84,Cuba,10985974.0
187,Curaçao,152849.0
157,Cyprus,1308120.0
86,Czech Republic,10706242.0
13,Democratic Republic of the Congo,111859928.0
113,Denmark,5946984.0
160,Djibouti,976143.0
201,Dominica,74656.0
85,Dominican Republic,10790744.0
69,Ecuador,17483326.0
14,Egypt,109546720.0
108,El Salvador,6602370.0
152,Equatorial Guinea,1737695.0
110,Eritrea,6274796.0
158,Estonia,1202762.0
159,Eswatini,1130043.0
11,Ethiopia,116462712.0
229,Falkland Islands,3662.0
208,Faroe Islands,52600.0
196,Federated States of Micronesia,100319.0
161,Fiji,947760.0
116,Finland,5614571.0
20,France,68521974.0
181,French Polynesia,301488.0
145,Gabon,2397368.0
125,Georgia,4927228.0
17,Germany,84220184.0
43,Ghana,33846114.0
218,Gibraltar,29629.0
88,Greece,10497595.0
206,Greenland,57777.0
190,Grenada,114299.0
176,Guadeloupe,378561.0
185,Guam,169330.0
68,Guatemala,17980803.0
203,Guernsey,67642.0
74,Guinea,13607249.0
149,Guinea-Bissau,2078820.0
164,Guyana,791739.0
82,Haiti,11470261.0
94,Honduras,9571352.0
104,Hong Kong,7288167.0
93,Hungary,9670009.0
177,Iceland,360872.0
1,India,1399179585.0
3,Indonesia,279476346.0
16,Iran,87590873.0
35,Iraq,41266109.0
122,Ireland,5323991.0
198,Isle of Man,91840.0
97,Israel,9043387.0
23,Italy,61021855.0
51,Ivory Coast,29344847.0
139,Jamaica,2820982.0
10,Japan,123719238.0
193,Jersey,102785.0
83,Jordan,11086716.0
63,Kazakhstan,19543464.0
26,Kenya,57052004.0
189,Kiribati,115372.0
150,Kosovo,1964327.0
134,Kuwait,3103580.0
111,Kyrgyzstan,6122781.0
102,Laos,7852377.0
151,Latvia,1821750.0
121,Lebanon,5331203.0
146,Lesotho,2210646.0
119,Liberia,5506280.0
105,Libya,7252573.0
212,Liechtenstein,39993.0
141,Lithuania,2655755.0
166,Luxembourg,660924.0
167,Macau,639971.0
52,Madagascar,28812195.0
61,Malawi,21279597.0
42,Malaysia,34219975.0
